Year;Month;Day;Hour;Minute;Speed;Direction
2019;06;06;16;00;22.80;254.43
2019;06;06;17;00;17.99;250.11
2019;06;06;18;00;15.46;242.24
2019;06;06;19;00;13.10;232.82
2019;06;06;20;00;11.21;222.40
2019;06;06;21;00;9.83;203.75
2019;06;06;22;00;11.21;174.47
2019;06;06;23;00;14.33;154.72
2019;06;07;00;00;16.60;139.40
2019;06;07;01;00;18.78;122.47
2019;06;07;02;00;20.77;123.69
2019;06;07;03;00;22.55;114.52
2019;06;07;04;00;27.06;123.06
2019;06;07;05;00;27.27;132.32
2019;06;07;06;00;31.54;128.05
2019;06;07;07;00;31.61;120.07
2019;06;07;08;00;31.72;116.27
2019;06;07;09;00;35.19;120.76
2019;06;07;10;00;38.30;126.98
2019;06;07;11;00;39.46;133.89
2019;06;07;12;00;41.29;137.83
2019;06;07;13;00;40.99;141.42
2019;06;07;14;00;39.46;144.28
2019;06;07;15;00;42.94;145.24
2019;06;07;16;00;43.20;143.13
2019;06;07;17;00;40.76;144.34
2019;06;07;18;00;32.97;148.39
2019;06;07;19;00;24.54;157.57
2019;06;07;20;00;17.16;170.34
2019;06;07;21;00;8.23;203.20
2019;06;07;22;00;12.43;292.11
2019;06;07;23;00;16.92;330.71
2019;06;08;00;00;23.40;359.12
2019;06;08;01;00;27.47;349.43
2019;06;08;02;00;26.28;346.53
2019;06;08;03;00;21.87;339.78
2019;06;08;04;00;26.05;348.85
2019;06;08;05;00;28.45;358.55
2019;06;08;06;00;29.66;5.57
2019;06;08;07;00;28.48;2.90
2019;06;08;08;00;24.12;360.00
2019;06;08;09;00;23.32;351.12
2019;06;08;10;00;22.80;344.43
2019;06;08;11;00;21.19;339.10
2019;06;08;12;00;19.16;331.99
2019;06;08;13;00;16.30;316.79
2019;06;08;14;00;18.45;287.02
2019;06;08;15;00;16.90;296.57
2019;06;08;16;00;19.25;277.52
2019;06;08;17;00;20.93;266.05
2019;06;08;18;00;20.90;259.08
2019;06;08;19;00;17.34;265.24
2019;06;08;20;00;11.89;271.74
2019;06;08;21;00;5.01;291.04
2019;06;08;22;00;8.28;360.00
2019;06;08;23;00;18.25;345.14
2019;06;09;00;00;20.48;10.12
2019;06;09;01;00;20.02;52.31
2019;06;09;02;00;21.97;91.88
2019;06;09;03;00;17.56;105.46
2019;06;09;04;00;15.91;127.65
2019;06;09;05;00;14.35;107.53
2019;06;09;06;00;21.96;90.00
2019;06;09;07;00;27.76;80.29
2019;06;09;08;00;24.48;89.16
2019;06;09;09;00;20.48;100.12
2019;06;09;10;00;17.53;109.18
2019;06;09;11;00;10.81;119.98
2019;06;09;12;00;7.65;138.81
2019;06;09;13;00;23.09;120.96
2019;06;09;14;00;27.55;118.91
2019;06;09;15;00;19.96;129.14
2019;06;09;16;00;28.96;124.88
2019;06;09;17;00;34.03;119.82
2019;06;09;18;00;34.15;114.94
2019;06;09;19;00;31.72;116.27
